message_text,scam_type,manipulation_type,keywords,scam_score,label,source_channel,language,target_audience,attack_vector,scam_stage,scam_intent
URGENT: Your package requires repakka fee of Rs.500000: https://ow.ly/c8069,parcel_delivery_scam,"urgency,curiosity","delivery,package",0.8,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
Your Aadhaar is being used for illegal activities. Verify identity: https://rb.gy/s1951,government_impersonation,"fear,authority,curiosity",Aadhaar,0.93,scam,SMS,english,general,impersonation,information_theft,identity_theft
SEBI register kareed investment plan. Triple apki investment: https://bit.ly/p4358,investment_scam,urgency,invest,0.81,scam,WhatsApp,english,investors,phishing_link,initial_contact,steal_information
Your Gmail account hacked! Secure it immediately: https://tinyurl.com/d2126,tech_support_scam,urgency,hacked,0.67,scam,SMS,english,general,impersonation,initial_contact,steal_information
649476 - Use this OTP to complete KYC verification with our executive,otp_scam,urgency,"OTP,verification",0.87,scam,SMS,english,general,otp_request,account_takeover,account_takeover
Your payment of Rs.5000 failed but amount debited. Refund: https://cutt.ly/i7772,refund_scam,reward,refund,0.7,scam,SMS,english,online_shoppers,phishing_link,payment_request,steal_information
Your IndusInd KYC is expiry. Update me 48hrs to continue services: https://short.link/u1165,bank_kyc_scam,authority,"KYC,update",0.79,scam,SMS,english,general,impersonation,initial_contact,identity_theft
Your .. khata .. is .. locked. .. Verify .. OTP .. 249144 .. with .. support .. team .. to .. unlock,otp_scam,"urgency,social_engineering,curiosity","OTP,verify",0.75,scam,WhatsApp,english,general,otp_request,account_takeover,account_takeover
Reminder: Your Kotak credit card payment of Rs.25000 due on 12/11/2024,legitimate_message,none,reminder,0.24,legitimate,SMS,english,general,none,none,none
Sarkar approved scheme paise double karo 6 mahine me: https://ow.ly/o9984,investment_scam,"authority,reward",trading,0.86,scam,SMS,hinglish,investors,phishing_link,initial_contact,steal_information
CONGRATULATIONS! You won Rs.2500 in KBC lottery. Claim: https://ow.ly/z5444,lottery_scam,reward,"lottery,congratulations,won,claim",0.78,scam,SMS,english,general,phishing_link,trust_building,steal_information
Meeting reminder: Team sync scheduled for 20/11/2024 at 13:30 PM,legitimate_message,none,reminder,0.24,legitimate,SMS,english,general,none,none,none
URGENT HIRING: Paytm needs 500 employees. Apply now: https://short.link/h3382,job_scam,urgency,hiring,0.71,scam,SMS,english,job_seekers,phishing_link,initial_contact,steal_information
Your appointment with Dr. Sharma confirmed for 6/9/2024 at 17:00 PM,legitimate_message,none,confirmed,0.08,legitimate,SMS,english,general,none,none,none
VIRUS ALERT: Your phone is infected. Clean now: https://ow.ly/n2585,tech_support_scam,urgency,"virus,alert,infected",0.78,scam,SMS,english,general,malware_link,initial_contact,spread_malware
Your appointment with Dr. Kumar confirmed for 28/2/2024 at 17:30 AM,legitimate_message,none,confirmed,0.26,legitimate,SMS,english,general,none,none,none
Govt. of India lottery winner! You won Rs.500000 lakhs. Registration: https://tinyurl.com/g9071,lottery_scam,"reward,curiosity","winner,lottery,won",0.78,scam,SMS,english,general,phishing_link,trust_building,steal_information
Reminder: Your Kotak credit card payment of Rs.1000 due on 11/11/2024,legitimate_message,none,reminder,0.23,legitimate,SMS,english,general,none,none,none
335331 is your verification code for WhatsApp. Never share this OTP.,otp_scam,social_engineering,"OTP,verification,share,code",0.79,scam,SMS,english,general,otp_request,account_takeover,account_takeover
Courier delivery failed 3 times. Final attempt - update kijiye details: https://cutt.ly/d2993,parcel_delivery_scam,"urgency,curiosity","delivery,courier",0.75,scam,SMS,english,online_shoppers,phishing_link,initial_contact,steal_information
Thank you for shopping with Google Pay. Order 375417349 confirmed.,legitimate_message,none,"confirmed,thank you",0.26,legitimate,SMS,english,online_shoppers,none,none,none
Aapke account me Rs.50000 aaya hai payment accept kare: https://cutt.ly/d6653,upi_payment_scam,reward,"payment,Rs,accept",0.76,scam,WhatsApp,hinglish,general,payment_request,payment_request,financial_fraud
Your Amazon order 718300155 has been shipped and will arrive by 4/11/2024,legitimate_message,none,none,0.02,legitimate,SMS,english,online_shoppers,none,none,none
Your .. Aadhaar .. is .. being .. used .. for .. illegal .. activities. .. Verify .. identity: .. https://rb.gy/h9606,government_impersonation,"fear,authority,curiosity",Aadhaar,0.87,scam,WhatsApp,english,general,impersonation,information_theft,identity_theft
Invest Rs.2500 get Rs.50000 in 30 days! 100% guaranteed returns: https://short.link/b1072,investment_scam,urgency,"invest,returns,guaranteed",0.7,scam,SMS,english,investors,phishing_link,initial_contact,steal_information
Your number is selected in Amazon mega lottery Rs.100000 crores! 🚨,lottery_scam,"reward,curiosity",lottery,0.87,scam,WhatsApp,english,online_shoppers,information_theft,trust_building,financial_fraud
"Dear customer, minimum balance in your Kotak account is Rs.25000",legitimate_message,none,none,0.27,legitimate,Email,english,general,none,none,none
708744 .. IS .. TUMHARA .. VERIFICATION .. CODE .. FOR .. INSTAGRAM. .. NEVER .. SHARE .. THIS .. OTP.,otp_scam,social_engineering,"OTP,verification,share,code",0.87,scam,WhatsApp,english,general,otp_request,account_takeover,account_takeover
UPI .. MANDATE: .. Accept .. recurring .. payment .. of .. Rs.2500/month: .. https://tinyurl.com/b2672,upi_payment_scam,reward,"UPI,payment,Rs,accept",0.7,scam,WhatsApp,english,general,payment_request,payment_request,financial_fraud
Your account is locked. Virify OTP 929317 with support team to unlock,otp_scam,social_engineering,"OTP,verify",0.92,scam,SMS,english,general,otp_request,account_takeover,account_takeover
Your OTP for WhatsApp login is 655582. Valid for 10 minutes. Do not share.,legitimate_message,none,OTP,0.1,legitimate,SMS,english,general,none,none,none
